what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435564079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420435584941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435587572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435592056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435607285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435650776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435660630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1420435733220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435735630
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420435747913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435751535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435812286
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420435818415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435821589
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435832117
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435832205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435832273
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420435832286
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435836849
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420435899768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435908056
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435919752
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435919766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435919808
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1420435919818
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435921969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435923714
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435937950
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1420435939014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1420435940496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435950354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435989774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1420435992790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420435994461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420436010757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420436027470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1420436049163
